id_alumno,Carrera/Titulo,plan_nombre,año_ingreso,egresado de,porcentaje_avance,cant_aprobadas,promedio_con_aplazo,promedio_sin_aplazo,cnt_materias,año_reinsc,cant_equiv,sexo,cant_hijos,situacion_padre,situacion_madre,tipo_vivienda,loc_per_lect,loc_origen,costeo_familiar,costeo_social,costeo_trabajo,costeo_beca,costeo_otro,trabajo_hace,trabajo_existe,trabajo_ocupacion,horas_sem,trabajo_carrera,trabajo_descripcion,mot_vocacion,mot_sugerencia_familiar,mot_reconocimiento_social,mot_insercion_laboral,mot_perfil_profesional,mot_mejora_economica,mot_util_sociedad,mot_otros_p
169,Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"97,14",34,"8,26","8,26",35,2024,0,Femenino,Más de dos,N,N,Sin Dato,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",Más de 10 y hasta 20 horas,Total,tecnica informatica,N,N,N,N,N,N,N,N
21,Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"91,43",32,"8,72","8,90",35,2024,0,Masculino,Más de dos,V,V,Sin Dato,PARANA,CHAJARI,S,N,S,N,N,Pasante,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",Más de 20 y hasta 35 horas,Parcial,ADMINISTRATIVA,N,N,N,N,N,N,N,N
349,Licenciatura en Sistemas de Información,2010,2014,Analista de Sistemas,"85,71",30,"7,81","8,17",35,2023,3,Masculino,Más de dos,V,V,Sin Dato,PARANA,Sin Dato,N,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
111,Análisis de Sistemas,2010,2013,Analista de Sistemas,"100,00",23,"6,97","7,96",23,2021,0,Masculino,Más de dos,N,V,Casa / Departamento propio,PARANA,PARANA,N,N,S,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
489,Licenciatura en Sistemas de Información,2010,2015,Analista de Sistemas,"54,29",19,"8,10","8,37",35,2018,18,Masculino,Más de dos,D,D,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
354,Licenciatura en Sistemas de Información,2010,2014,Analista de Sistemas,"100,00",35,"8,55","8,55",35,2024,7,Masculino,No tiene,V,V,Casa / Departamento alquilado,ORO VERDE,FEDERAL,N,N,S,N,N,Pasante,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",Hasta 10 horas,Parcial,Desarrollo,S,N,N,N,N,N,N,N
73,Análisis de Sistemas,2010,2013,Analista de Sistemas,"100,00",23,"7,81","8,13",23,2024,0,Masculino,No tiene,V,V,Sin Dato,ORO VERDE,ORO VERDE,S,N,N,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",Hasta 10 horas,Sin relación,Ayudante,N,N,N,N,N,N,N,N
138,Análisis de Sistemas,2010,2013,Analista de Sistemas,"100,00",23,"8,25","8,25",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento alquilado,GENERAL RAMIREZ,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
"7,52",Análisis de Sistemas,2010,2016,Analista de Sistemas,"100,00",23,"8,68","8,68",23,2024,7,Masculino,No tiene,D,V,Sin Dato,PARANA,PARANA,N,N,N,S,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,S,N,N,N,N,N,N,N
"7,59",Análisis de Sistemas,2010,2016,Analista de Sistemas,"100,00",23,"8,69","8,92",23,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
