@relation data_trapuesta_sis

@attribute edad {19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43}
@attribute genero {1,0}
@attribute estado_civil {1,0}
@attribute etnia {0,1,2,3,4,5,6}
@attribute sector_procedencia {1,0}
@attribute provincia_nacimiento {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute trabaja {1,0}
@attribute ingreso_estudiante {1,0}
@attribute numero_hijos{1,0}
@attribute tipo_colegio {1,2,3}
@attribute GESTION_DE_REDES {0,1}
@attribute AUDITORIA_INFORMATICA {0,1}
@attribute PROYECTOS_INFORMATICOS_II {0,1}
@attribute ANALISIS_NUMERICO {0,1}
@attribute INVESTIGACION_DE_OPERACIONES {0,1}
@attribute ADMINISTRACION_DE_CENTROS_DE_COMPUTO {0,1}

@data
26,1,1,1,1,11,0,0,0,2,1,1,1,0,1,1
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1,1
27,0,1,1,0,7,0,0,0,1,1,1,1,1,1,1
28,0,0,1,0,7,0,0,0,1,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1,1
27,0,1,1,0,11,0,1,0,1,1,1,1,0,1,1
29,1,1,1,0,11,0,0,0,2,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1,1
25,0,1,1,0,17,0,0,0,2,1,1,1,1,1,1
28,0,1,1,0,7,0,0,0,2,1,1,1,1,1,1
30,0,0,1,0,11,0,1,0,2,1,1,1,1,1,1
31,1,0,1,0,11,0,0,1,2,1,1,1,1,1,1
26,0,1,1,0,11,0,0,0,1,1,1,1,1,1,1
31,0,1,1,0,7,0,0,0,1,1,1,1,1,1,1
23,0,1,1,1,11,0,0,0,1,1,1,1,1,1,1
34,1,1,1,0,11,0,0,0,1,1,1,1,1,1,1
28,0,0,1,0,11,1,0,1,1,1,1,1,1,1,1
27,0,1,1,0,11,1,1,0,1,1,1,1,1,1,1
24,0,1,1,0,7,0,0,0,1,1,1,1,1,1,1
32,1,0,1,0,11,0,0,0,2,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,1,1,1,1,1,1
26,0,1,1,0,11,0,0,0,1,1,1,1,1,1,1
29,0,0,1,0,11,0,0,0,2,1,1,1,1,1,1
32,1,1,1,0,11,0,0,0,1,1,1,1,1,1,1
26,0,1,1,0,7,1,0,0,1,1,1,1,1,1,1
30,0,1,1,0,11,0,0,0,2,1,1,1,1,1,1
28,1,1,1,0,11,0,0,0,1,1,1,1,1,1,1
27,1,1,1,0,9,0,0,1,1,1,1,1,1,1,1
29,1,1,1,0,11,0,0,0,1,1,1,1,1,1,1
31,0,1,1,0,11,0,0,0,1,1,1,1,1,1,1
33,0,0,1,0,11,0,0,0,2,1,1,1,1,1,1
29,0,1,1,0,11,0,0,0,2,1,1,1,1,1,1
32,0,1,1,0,11,0,0,0,2,1,1,1,1,1,1
31,0,1,1,0,11,0,1,0,1,0,1,0,1,1,1
28,0,0,1,0,11,0,0,0,1,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,2,1,1,1,1,1,1
32,1,1,1,0,11,0,0,0,1,1,1,1,1,1,1
30,0,1,1,0,11,0,0,1,2,1,1,1,1,1,1
28,0,1,1,0,7,0,0,0,1,1,1,1,1,1,1
31,1,0,1,0,11,0,0,0,1,1,1,1,1,1,1
36,0,1,1,0,11,0,1,0,1,1,1,1,1,1,1
30,0,1,1,0,7,0,0,0,1,1,1,1,1,1,1
30,0,1,1,1,11,0,1,0,2,0,1,1,0,1,1
35,0,1,1,0,11,1,1,0,1,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1,1
34,0,1,1,0,11,0,0,0,1,1,1,1,1,1,1
31,0,1,1,0,11,0,0,0,2,0,0,1,0,1,1
32,0,0,1,0,7,0,0,0,1,1,1,1,1,1,1
26,0,1,1,0,7,0,1,0,2,1,1,1,1,1,1
29,0,1,1,0,11,1,1,0,1,1,1,1,1,1,1
24,1,1,1,0,17,0,0,0,1,1,1,1,0,1,1
27,0,1,1,0,11,0,0,0,2,1,1,1,0,1,1
35,1,1,1,0,11,0,0,0,2,1,1,1,1,1,1
26,0,1,1,0,11,1,1,0,2,1,1,1,1,1,1
32,1,0,1,0,11,0,0,0,2,1,1,1,1,1,1
29,0,1,1,1,11,0,0,0,1,1,1,1,1,1,1
31,0,1,1,0,11,0,0,0,1,1,1,1,1,1,1
25,0,1,1,0,7,0,1,0,1,1,1,1,1,1,1
25,0,1,1,1,11,0,0,0,1,1,1,1,1,1,1
24,0,1,1,0,11,0,0,0,2,1,1,1,1,1,1
29,0,1,1,0,19,1,1,0,1,1,1,1,0,1,1
31,0,1,1,0,19,0,0,0,1,1,1,1,1,1,1
25,0,1,1,0,11,1,0,0,1,1,1,1,0,1,1
26,0,1,1,0,11,0,0,0,2,1,1,1,1,1,1
30,1,1,1,0,11,0,1,0,1,1,1,1,0,1,1
26,0,1,1,0,11,0,0,0,2,1,1,1,1,1,1
