edad,genero,estado_civil,etnia,sector_procedencia,provincia_nacimiento,trabaja,ingreso_estudiante,numero_hijos,tipo_colegio,ciclo,PERDIDAS,ELECTRICIDAD,ALGEBRA LINEAL,COMUNICACION PROFESIONAL,INTRODUCCION A LAS CIENCIAS DE LA COMPUTACION,TEORIA DE LA PROGRAMACION
20,0,1,1,0,7,0,1,0,2,1,4,0,0,1,0,0
18,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
18,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
20,0,1,1,0,7,0,0,0,2,1,0,1,1,1,1,1
26,1,1,1,0,11,0,0,1,2,1,5,0,0,0,0,0
23,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
22,0,1,1,0,20,0,0,1,2,1,5,0,0,0,0,0
26,1,1,1,0,11,0,0,1,2,1,5,0,0,0,0,0
19,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,2,1,0,1,1,0
19,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
34,1,1,1,0,7,0,0,0,2,1,3,1,0,1,0,0
19,0,1,1,0,11,0,0,0,2,1,1,1,0,1,1,1
21,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
20,0,1,1,0,19,0,0,0,2,1,0,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,4,0,1,0,0,0
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1,0,1
20,0,1,1,0,11,0,1,0,2,1,3,1,1,0,0,0
22,0,1,1,0,11,0,0,0,2,1,4,0,0,1,0,0
23,1,1,1,1,11,0,0,0,2,1,5,0,0,0,0,0
30,0,1,2,0,11,0,1,0,2,1,5,0,0,0,0,0
21,0,1,1,0,11,0,0,0,2,1,4,0,0,1,0,0
19,0,1,1,0,7,0,0,0,2,1,0,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
23,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
21,0,1,1,0,10,0,0,0,2,1,0,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,1,1,0,1,1,1
20,1,1,1,0,1,0,1,0,2,1,1,1,1,1,0,1
21,0,1,1,0,11,0,0,0,2,1,3,0,1,0,1,0
21,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
27,0,1,1,0,11,1,1,0,3,1,0,1,1,1,1,1
26,0,1,1,0,11,0,0,0,2,1,3,0,0,1,1,0
22,0,1,1,0,11,0,0,0,2,1,3,0,0,1,0,1
23,1,1,1,0,11,1,1,0,2,1,5,0,0,0,0,0
21,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
22,0,1,1,1,11,0,1,0,2,1,1,1,1,1,1,0
20,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
21,0,1,1,1,7,0,0,0,2,1,2,0,1,1,1,0
21,1,1,1,0,11,0,0,0,2,1,2,1,1,1,0,0
22,0,1,1,1,11,0,0,0,2,1,1,1,1,1,1,0
32,1,1,1,0,11,0,0,0,2,1,3,1,0,0,1,0
20,0,1,1,0,7,0,0,0,2,1,0,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,2,1,0,1,1,0
20,1,1,1,0,11,0,1,0,2,1,3,0,0,1,1,0
19,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
21,0,1,1,0,11,0,0,0,2,1,3,0,1,1,0,0
19,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
18,0,1,1,1,19,0,0,0,2,1,2,1,1,1,0,0
26,0,1,1,0,11,0,0,0,2,1,4,0,0,1,0,0
20,0,1,1,0,17,0,0,0,2,1,5,0,0,0,0,0
25,0,1,1,0,7,0,1,0,2,1,5,0,0,0,0,0
22,1,1,1,1,11,0,1,1,2,1,2,1,1,0,0,1
21,0,1,1,0,11,0,0,0,2,1,2,1,1,1,0,0
24,0,1,1,0,11,0,1,0,2,1,0,1,1,1,1,1
25,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
31,0,1,1,0,11,0,0,0,2,1,2,1,0,1,1,0
20,0,1,1,0,11,0,1,0,2,1,0,1,1,1,1,1
21,1,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
27,0,1,1,1,11,1,1,0,1,1,1,1,0,1,1,1
19,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
19,0,1,1,1,11,0,0,0,2,1,0,1,1,1,1,1
18,0,1,1,0,11,0,1,0,2,1,0,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,1,1,1,1,0,1
19,1,1,1,1,11,0,1,0,2,1,3,0,1,1,0,0
21,1,1,1,0,19,0,0,0,2,1,2,1,1,0,1,0
25,0,1,1,0,7,0,0,0,2,1,0,1,1,1,1,1
22,0,1,1,0,19,0,0,0,2,1,1,1,0,1,1,1
19,1,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
19,0,1,1,0,11,0,0,0,2,1,3,1,0,1,0,0
23,0,1,1,0,11,0,0,0,2,1,3,0,0,1,0,1
19,1,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
19,0,1,1,0,7,0,0,0,2,1,2,1,0,1,1,0
22,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
23,1,1,1,0,7,0,0,0,2,1,0,1,1,1,1,1
22,0,1,6,0,7,0,0,0,2,1,0,1,1,1,1,1
25,1,1,1,0,11,0,0,1,2,1,1,1,1,1,1,0
21,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
22,0,1,1,1,11,0,0,0,2,1,0,1,1,1,1,1
18,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
20,1,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
20,1,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
19,0,1,1,0,11,0,1,0,2,1,0,1,1,1,1,1
20,1,1,1,0,11,0,0,0,2,1,2,1,0,1,0,1
20,0,1,1,0,11,0,0,0,2,1,4,0,1,0,0,0
24,0,1,1,0,19,0,0,0,2,1,2,0,1,1,1,0
22,1,1,1,1,11,0,0,0,1,1,4,0,0,1,0,0
22,0,1,1,1,11,0,0,0,2,1,0,1,1,1,1,1
21,1,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,3,0,1,0,1,0
20,1,1,1,0,11,0,0,0,2,1,1,1,1,1,1,0
19,1,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
24,0,1,1,0,11,0,0,0,3,1,0,1,1,1,1,1
25,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,3,0,1,0,1,0
21,1,1,1,0,11,0,0,0,2,1,4,0,0,1,0,0
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1,0,1
20,0,1,1,0,11,0,1,0,2,1,5,0,0,0,0,0
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1,1,0
23,0,1,1,1,11,0,1,0,2,1,1,1,1,1,1,0
20,1,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
21,1,1,1,0,19,0,0,0,2,1,2,0,1,1,1,0
21,0,1,1,0,11,0,0,0,2,1,3,1,1,0,0,0
20,0,1,1,0,11,0,0,0,2,1,4,0,0,0,1,0
21,0,1,1,0,11,0,0,0,2,1,1,1,1,0,1,1
19,1,1,1,0,11,0,1,0,2,1,5,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
20,1,1,1,1,11,0,1,0,2,1,2,1,1,0,1,0
20,0,1,1,0,19,0,0,0,2,1,0,1,1,1,1,1
22,0,1,1,0,11,1,1,0,2,1,0,1,1,1,1,1
21,0,1,1,0,11,0,0,0,1,1,0,1,1,1,1,1
20,0,1,1,0,11,0,0,0,1,1,0,1,1,1,1,1
20,1,1,1,0,11,0,0,0,2,1,3,0,1,0,1,0
19,1,1,1,0,11,1,1,0,2,1,4,0,0,1,0,0
18,1,1,1,0,11,0,0,0,2,1,1,1,1,1,1,0
19,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
20,1,1,1,1,11,0,0,0,2,1,0,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
20,0,1,1,0,11,0,1,0,2,1,5,0,0,0,0,0
19,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
26,1,1,1,0,11,0,0,1,2,1,5,0,0,0,0,0
21,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
26,0,0,1,1,19,0,1,1,2,1,0,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,1,5,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,1,0,1,1,1,1,1
23,0,1,1,0,9,0,1,0,1,1,5,0,0,0,0,0
26,0,1,1,0,17,0,0,0,2,1,0,1,1,1,1,1
