edad,genero,estado_civil,etnia,sector_procedencia,provincia_nacimiento,trabaja,ingreso_estudiante,numero_hijos,tipo_colegio,ciclo,PERDIDAS,CALCULO INTEGRAL,ARQUITECTURA DE ORDENADORES,ESTADISTICA ANALITICA,ESTRUCTURAS DE DATOS Y ALGORITMOS FUNDAMENTALES,BANCOS DE DATOS,"CATEDRA INTEGRADORA: PROYECTO DE VINCULACION: ""CENTRO DE ASESORIA TECNOLOGICA"""
23,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
20,0,1,1,0,19,0,0,0,2,3,0,1,1,1,1,1,1
21,0,1,1,0,10,0,0,0,2,3,0,1,1,1,1,1,1
27,0,1,1,0,11,1,1,0,3,3,1,1,1,0,1,1,1
27,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
21,1,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
19,0,1,1,1,11,0,0,0,2,3,0,1,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
25,0,1,1,0,7,0,0,0,2,3,2,1,0,0,1,1,1
22,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
22,0,1,1,1,11,0,0,0,2,3,0,1,1,1,1,1,1
21,1,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
24,0,1,1,0,11,0,0,0,3,3,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
22,0,1,1,0,11,1,1,0,2,3,0,1,1,1,1,1,1
21,0,1,1,0,11,0,0,0,1,3,0,1,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,3,2,1,1,1,1,1,1
26,0,0,1,1,19,0,1,1,2,3,0,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,3,2,0,0,1,1,1,1
24,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
20,0,1,1,0,7,1,0,0,2,3,2,1,1,0,1,0,1
25,0,1,1,0,19,0,0,0,2,3,0,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,1,3,0,1,1,1,1,1,1
23,0,1,1,0,23,0,0,0,2,3,0,1,1,1,1,1,1
19,1,1,1,0,11,0,0,0,2,3,3,1,1,0,0,0,1
25,0,1,1,1,11,0,1,0,1,3,2,1,0,0,1,1,1
35,0,1,1,0,11,1,1,0,1,3,0,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
21,0,1,1,0,11,1,1,0,2,3,2,1,1,1,0,0,1
22,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
20,0,1,1,0,19,0,0,0,2,3,0,1,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
23,0,1,1,0,19,0,0,0,2,3,2,1,1,1,1,1,1
34,1,1,1,0,11,1,1,1,2,3,3,1,1,1,0,1,0
21,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,3,0,1,1,1,1,1,1
23,1,1,1,0,7,0,0,0,2,3,0,1,1,1,1,1,1
