edad;genero;estado_civil;etnia;sector_procedencia;provincia_nacimiento;trabaja;ingreso_estudiante;numero_hijos;tipo_colegio;ciclo;PERDIDAS;ARM;ANRM;QUIMICA;EXPRESION ORAL Y ESCRITA;CALCULO DIFERENCIAL;FISICA I;FUNDAMENTOS INFORMATICOS;GEOMETRIA PLANA
26;1;1;1;1;11;0;0;0;2;1;1;3;3;1;1;1;1;1;1
31;0;0;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
25;0;1;1;1;19;0;0;0;3;1;0;3;3;1;1;1;1;1;1
33;0;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
27;0;0;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
22;0;1;1;0;19;0;0;0;1;1;0;3;3;1;1;1;1;1;1
25;0;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
27;0;1;1;0;7;0;0;0;1;1;0;3;3;1;1;1;1;1;1
26;1;1;1;0;11;0;0;0;1;1;5;2;1;0;1;1;0;1;0
28;0;0;1;0;7;0;0;0;1;1;0;3;3;1;1;1;1;1;1
25;0;1;1;0;11;0;0;0;1;1;4;1;2;1;1;0;0;0;1
25;0;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
27;0;1;1;0;11;0;1;0;1;1;5;1;2;1;0;0;1;0;1
23;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
28;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
28;0;1;1;0;11;0;0;0;3;1;3;2;2;1;1;0;0;1;1
37;0;0;1;0;11;0;0;1;2;1;0;3;3;1;1;1;1;1;1
22;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
27;0;0;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
27;0;1;1;0;11;0;0;0;1;1;8;1;0;0;0;0;0;1;0
21;1;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
25;0;1;1;0;17;0;0;0;2;1;0;3;3;1;1;1;1;1;1
28;0;1;1;0;7;0;0;0;2;1;0;3;3;1;1;1;1;1;1
30;1;1;1;0;7;1;1;0;1;1;5;2;1;0;1;1;0;1;0
30;0;0;1;0;11;0;1;0;2;1;0;3;3;1;1;1;1;1;1
30;1;0;1;0;11;0;0;0;1;1;5;2;1;0;1;1;0;1;0
33;0;0;1;0;11;0;0;1;2;1;1;3;2;0;1;1;1;1;1
26;0;1;1;0;11;0;0;0;1;1;1;2;3;1;1;0;1;1;1
27;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
32;1;0;1;0;23;0;0;1;2;1;1;2;3;1;1;0;1;1;1
31;0;1;1;0;7;0;0;0;1;1;0;3;3;1;1;1;1;1;1
31;0;1;1;0;7;0;0;0;1;1;1;3;3;1;1;1;1;1;1
23;0;1;1;1;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
27;0;1;1;0;19;0;0;0;2;1;0;3;3;1;1;1;1;1;1
28;0;0;1;0;11;1;0;1;1;1;0;3;3;1;1;1;1;1;1
23;0;1;1;0;11;0;0;0;1;1;1;2;3;1;1;0;1;1;1
32;0;1;1;1;11;0;0;0;2;1;1;2;3;1;1;0;1;1;1
27;0;1;1;0;11;1;1;0;1;1;0;3;3;1;1;1;1;1;1
24;0;1;1;0;7;0;0;0;1;1;0;3;3;1;1;1;1;1;1
23;0;1;1;0;19;0;0;0;1;1;0;3;3;1;1;1;1;1;1
32;1;0;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
27;0;1;1;0;11;0;0;0;2;1;1;3;3;1;1;1;1;1;1
27;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
26;0;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
23;1;1;1;0;11;0;0;0;1;1;1;2;3;1;1;0;1;1;1
26;0;1;1;0;7;1;0;0;1;1;0;3;3;1;1;1;1;1;1
22;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
28;1;0;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
25;0;1;1;0;11;0;0;1;1;1;0;3;3;1;1;1;1;1;1
30;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
26;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
28;1;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
23;0;1;1;0;7;0;0;0;1;1;0;3;3;1;1;1;1;1;1
27;1;1;1;0;9;0;0;1;1;1;0;3;3;1;1;1;1;1;1
28;1;0;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
32;1;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
23;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
31;0;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
28;0;1;1;0;11;0;1;0;1;1;0;3;3;1;1;1;1;1;1
29;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
25;0;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
29;0;1;1;0;11;0;0;0;1;1;4;1;2;1;1;0;0;0;1
28;0;1;1;0;19;0;0;0;2;1;5;1;0;0;0;0;0;0;1
31;0;1;1;0;11;0;1;0;1;1;0;3;3;1;1;1;1;1;1
28;0;0;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
25;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
30;0;1;1;0;11;0;0;1;2;1;0;3;3;1;1;1;1;1;1
28;0;1;1;0;7;0;0;0;1;1;0;3;3;1;1;1;1;1;1
