fecha_nacimiento,genero,estado_civil,etnia,sector_procedencia,provincia_nacimiento,trabaja,ingreso_estudiante,numero_hijos,tipo_colegio,ciclo,PERDIDAS,METODOLOGIA DE LA INVESTIGACION,DISENO Y GESTION DE BASE DE DATOS,METODOLOGIA DE LA PROGRAMACION,ECONOMIA,CONTABILIDAD GENERAL,PROCESO INVESTIGATIVO
26,1,1,1,1,11,0,0,0,2,4,1,1,0,1,1,1,1
29,0,0,1,0,11,0,0,0,1,4,1,1,1,0,1,1,1
33,0,1,1,0,11,0,0,0,1,4,0,1,1,1,1,1,1
27,0,0,1,0,11,0,0,0,1,4,5,1,1,0,1,0,1
22,0,1,1,0,19,0,0,0,1,4,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,4,0,1,1,1,1,1,1
27,0,1,1,0,7,0,0,0,1,4,0,1,1,1,1,1,1
28,0,0,1,0,7,0,0,0,1,4,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,4,0,1,1,1,1,1,1
27,0,1,1,0,11,0,1,0,1,4,0,1,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,4,2,1,1,0,1,1,1
28,0,1,1,0,11,0,0,0,2,4,0,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,4,0,1,1,1,1,1,1
21,1,1,1,0,11,0,0,0,1,4,0,1,1,1,1,1,1
25,0,1,1,0,17,0,0,0,2,4,0,1,1,1,1,1,1
28,0,1,1,0,7,0,0,0,2,4,0,1,1,1,1,1,1
30,0,0,1,0,11,0,1,0,2,4,1,1,1,1,1,1,1
30,1,0,1,0,11,0,0,0,1,4,1,1,1,0,1,1,1
26,0,1,1,0,11,0,0,0,1,4,0,1,1,1,1,1,1
31,0,1,1,0,7,0,0,0,1,4,0,1,1,1,1,1,1
23,0,1,1,1,11,0,0,0,1,4,0,1,1,1,1,1,1
28,0,0,1,0,11,1,0,1,1,4,0,1,1,1,1,1,1
27,0,1,1,0,11,1,1,0,1,4,0,1,1,1,1,1,1
24,0,1,1,0,7,0,0,0,1,4,0,1,1,1,1,1,1
23,0,1,1,0,19,0,0,0,1,4,5,0,0,0,0,0,1
27,0,1,1,0,11,0,0,0,2,4,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,4,0,1,1,1,1,1,1
26,0,1,1,0,11,0,0,0,1,4,0,1,1,1,1,1,1
23,1,1,1,0,11,0,0,0,1,4,2,1,1,0,1,1,1
26,0,1,1,0,7,1,0,0,1,4,0,1,1,1,1,1,1
