edad,genero,estado_civil,etnia,sector_procedencia,provincia_nacimiento,trabaja,ingreso_estudiante,numero_hijos,tipo_colegio,ciclo,PERDIDAS,GESTION DE REDES,AUDITORIA INFORMATICA,PROYECTOS INFORMATICOS II,ANALISIS NUMERICO,INVESTIGACION DE OPERACIONES,ADMINISTRACION DE CENTROS DE COMPUTO
26,1,1,1,1,11,0,0,0,2,8,1,1,1,1,0,1,1
25,0,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
27,0,1,1,0,7,0,0,0,1,8,0,1,1,1,1,1,1
28,0,0,1,0,7,0,0,0,1,8,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
27,0,1,1,0,11,0,1,0,1,8,1,1,1,1,0,1,1
29,1,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
25,0,1,1,0,17,0,0,0,2,8,0,1,1,1,1,1,1
28,0,1,1,0,7,0,0,0,2,8,0,1,1,1,1,1,1
30,0,0,1,0,11,0,1,0,2,8,0,1,1,1,1,1,1
31,1,0,1,0,11,0,0,1,2,8,0,1,1,1,1,1,1
26,0,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
31,0,1,1,0,7,0,0,0,1,8,0,1,1,1,1,1,1
23,0,1,1,1,11,0,0,0,1,8,0,1,1,1,1,1,1
34,1,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
28,0,0,1,0,11,1,0,1,1,8,0,1,1,1,1,1,1
27,0,1,1,0,11,1,1,0,1,8,0,1,1,1,1,1,1
24,0,1,1,0,7,0,0,0,1,8,0,1,1,1,1,1,1
32,1,0,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
26,0,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
29,0,0,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
32,1,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
26,0,1,1,0,7,1,0,0,1,8,0,1,1,1,1,1,1
30,0,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
28,1,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
27,1,1,1,0,9,0,0,1,1,8,0,1,1,1,1,1,1
29,1,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
31,0,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
33,0,0,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
29,0,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
32,0,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
31,0,1,1,0,11,0,1,0,1,8,2,0,1,0,1,1,1
28,0,0,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
32,1,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
30,0,1,1,0,11,0,0,1,2,8,0,1,1,1,1,1,1
28,0,1,1,0,7,0,0,0,1,8,0,1,1,1,1,1,1
31,1,0,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
36,0,1,1,0,11,0,1,0,1,8,0,1,1,1,1,1,1
30,0,1,1,0,7,0,0,0,1,8,0,1,1,1,1,1,1
30,0,1,1,1,11,0,1,0,2,8,2,0,1,1,0,1,1
35,0,1,1,0,11,1,1,0,1,8,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
34,0,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
31,0,1,1,0,11,0,0,0,2,8,3,0,0,1,0,1,1
32,0,0,1,0,7,0,0,0,1,8,0,1,1,1,1,1,1
26,0,1,1,0,7,0,1,0,2,8,0,1,1,1,1,1,1
29,0,1,1,0,11,1,1,0,1,8,0,1,1,1,1,1,1
24,1,1,1,0,17,0,0,0,1,8,1,1,1,1,0,1,1
27,0,1,1,0,11,0,0,0,2,8,1,1,1,1,0,1,1
35,1,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
26,0,1,1,0,11,1,1,0,2,8,0,1,1,1,1,1,1
32,1,0,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
29,0,1,1,1,11,0,0,0,1,8,0,1,1,1,1,1,1
31,0,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
25,0,1,1,0,7,0,1,0,1,8,0,1,1,1,1,1,1
25,0,1,1,1,11,0,0,0,1,8,0,1,1,1,1,1,1
24,0,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
29,0,1,1,0,19,1,1,0,1,8,1,1,1,1,0,1,1
31,0,1,1,0,19,0,0,0,1,8,0,1,1,1,1,1,1
25,0,1,1,0,11,1,0,0,1,8,1,1,1,1,0,1,1
26,0,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
30,1,1,1,0,11,0,1,0,1,8,1,1,1,1,0,1,1
26,0,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,8,5,0,0,1,0,0,0
29,1,1,1,0,11,0,1,0,1,8,0,1,1,1,1,1,1
22,0,1,1,0,21,0,0,0,1,8,0,1,1,1,1,1,1
28,1,1,1,0,11,0,0,1,1,8,0,1,1,1,1,1,1
28,1,1,1,0,11,0,1,0,1,8,0,1,1,1,1,1,1
25,1,1,1,0,11,0,0,0,1,8,2,1,1,1,0,0,1
27,1,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
25,1,1,1,0,11,1,1,0,1,8,0,1,1,1,1,1,1
32,1,0,1,0,11,0,0,1,1,8,0,1,1,1,1,1,1
29,1,1,1,0,11,0,1,0,1,8,0,1,1,1,1,1,1
29,0,0,1,0,11,0,0,1,1,8,1,0,1,1,1,1,1
27,0,1,1,0,19,0,0,0,1,8,0,1,1,1,1,1,1
40,0,0,1,0,7,0,0,0,1,8,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,8,0,1,1,1,1,1,1
32,1,1,1,0,11,0,0,1,1,8,3,0,1,1,1,1,0
28,0,1,3,1,11,0,0,1,2,8,0,1,1,1,1,1,1
27,1,1,1,0,11,0,0,0,1,8,0,1,1,1,1,1,1
