edad,genero,estado_civil,etnia,sector_procedencia,provincia_nacimiento,trabaja,ingreso_estudiante,numero_hijos,tipo_colegio,ciclo,PERDIDAS,SISTEMAS DE INFORMACION,PROYECTO DE TRABAJO DE TITULACION,AUTOMATAS Y LENGUAJES FORMALES,INGENIERIA DE SOFTWARE II,MODELAMIENTO MATEMATICO,INTELIGENCIA ARTIFICIAL
26,1,1,1,1,11,0,0,0,2,9,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
27,0,1,1,0,7,0,0,0,1,9,0,1,1,1,1,1,1
28,0,0,1,0,7,0,0,0,1,9,0,1,1,1,1,1,1
31,0,1,1,1,11,0,0,0,2,9,4,1,1,1,1,0,1
25,0,1,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
27,0,1,1,0,11,0,1,0,1,9,0,1,1,1,1,1,1
29,0,0,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
29,1,1,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
25,0,1,1,0,17,0,0,0,2,9,1,1,1,1,0,1,1
28,0,1,1,0,7,0,0,0,2,9,0,1,1,1,1,1,1
30,0,0,1,0,11,0,1,0,2,9,0,1,1,1,1,1,1
31,1,0,1,0,11,0,0,1,2,9,0,1,1,1,1,1,1
26,0,1,1,0,11,0,0,0,1,9,2,1,1,1,1,1,1
31,0,1,1,0,7,0,0,0,1,9,0,1,1,1,1,1,1
23,0,1,1,1,11,0,0,0,1,9,0,1,1,1,1,1,1
34,1,1,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
28,0,0,1,0,11,1,0,1,1,9,0,1,1,1,1,1,1
27,0,1,1,0,11,1,1,0,1,9,0,1,1,1,1,1,1
24,0,1,1,0,7,0,0,0,1,9,0,1,1,1,1,1,1
32,1,0,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
26,0,1,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
29,0,0,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
32,1,1,1,0,11,0,0,0,1,9,2,1,1,0,1,1,1
26,0,1,1,0,7,1,0,0,1,9,0,1,1,1,1,1,1
30,0,1,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
28,1,1,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
27,1,1,1,0,9,0,0,1,1,9,0,1,1,1,1,1,1
29,1,1,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
31,0,1,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
33,0,0,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
30,0,1,1,0,11,0,0,1,2,9,0,1,1,1,1,1,1
32,0,1,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
31,0,1,1,0,11,0,1,0,1,9,0,1,1,1,1,1,1
28,0,0,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
32,1,1,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
30,0,1,1,0,11,0,0,1,2,9,8,0,0,0,0,0,1
28,0,1,1,0,7,0,0,0,1,9,0,1,1,1,1,1,1
31,1,0,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
36,0,1,1,0,11,0,1,0,1,9,1,0,1,1,1,1,1
30,0,1,1,0,7,0,0,0,1,9,0,1,1,1,1,1,1
30,0,1,1,1,11,0,1,0,2,9,6,0,1,1,0,1,1
35,0,1,1,0,11,1,1,0,1,9,1,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
34,0,1,1,0,11,0,0,0,1,9,0,1,1,1,1,1,1
31,0,1,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
32,0,0,1,0,7,0,0,0,1,9,1,0,1,1,1,1,1
26,0,1,1,0,7,0,1,0,2,9,0,1,1,1,1,1,1
29,0,1,1,0,11,1,1,0,1,9,0,1,1,1,1,1,1
24,1,1,1,0,17,0,0,0,1,9,0,1,1,1,1,1,1
35,1,1,1,0,19,0,0,0,3,9,3,1,1,1,1,0,1
27,0,1,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
35,1,1,1,0,11,0,0,0,2,9,0,1,1,1,1,1,1
